Custom,0000,tbd,no unit,,,,,,,,,,,
Custom,0000,no activity of this subscope in the reporting year,no unit,,,,,,,,,,,
Custom,0000,specific emission from separate assessment, kg CO2e,1.0000,,,,,,,,,,
Custom,0000,data not availailable/ missing in reporting year,no unit,,,,,,,,,,,
Custom,0000,included in other subscope category,no unit,,,,,,,,,,,
Custom,0000,total emission of this subscope see adjacent for further description,no unit,,,,,,,,,,,
Custom,0000,no emissions according to GHGP or ISO14064-1,no unit,,,,,,,,,,,
Custom,0000,emissions with this subscope negligible, tbd,no unit,,,,,,,,,,,
Custom,0000,included in other business unit,no unit,,,,,,,,,,,
Custom,2021, Expenses, BIP, €,0.2603,,,,,,,,,,
Client, 2022, Electricity, purchased in reporting year by reporting company, MWh,280.0000,,,,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Butane, Energy - Gross CV, kWh (Gross CV),0.2224,0.2221,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Butane, Energy - Gross CV, kWh (Gross CV),0.2224,0.2221,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Butane, Energy - Net CV, kWh (Net CV),0.2411,0.2407,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Butane, Energy - Net CV, kWh (Net CV),0.2411,0.2407,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Butane, Tonnes, t,3033.3200,3029.2600,2.2500,1.8000,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Butane, Tonnes, t,3033.3200,3029.2600,2.2500,1.8000,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Butane, Volume, litres,1.7453,1.7430,0.0013,0.0010,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Butane, Volume, litres,1.7453,1.7430,0.0013,0.0010,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, CNG, Energy - Gross CV, kWh (Gross CV),0.1825,0.1822,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, CNG, Energy - Gross CV, kWh (Gross CV),0.1832,0.1828,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, CNG, Energy - Gross CV, kWh (Gross CV),0.1839,0.1835,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, CNG, Energy - Gross CV, kWh (Gross CV),0.1839,0.1835,0.0002,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, CNG, Energy - Gross CV, kWh (Gross CV),0.1840,0.1836,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, CNG, Energy - Net CV, kWh (Net CV),0.2023,0.2019,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, CNG, Energy - Net CV, kWh (Net CV),0.2030,0.2026,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, CNG, Energy - Net CV, kWh (Net CV),0.2037,0.2034,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, CNG, Energy - Net CV, kWh (Net CV),0.2043,0.2039,0.0003,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, CNG, Energy - Net CV, kWh (Net CV),0.2044,0.2040,0.0003,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, CNG, Tonnes, t,2539.2500,2534.4700,3.4400,1.3400,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, CNG, Tonnes, t,2538.4800,2533.6900,3.4400,1.3400,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, CNG, Tonnes, t,2533.0000,2528.2600,3.4000,1.3300,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, CNG, Tonnes, t,2542.0400,2537.3600,3.3400,1.3400,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, CNG, Tonnes, t,2746.6300,2741.5600,3.6300,1.4400,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, CNG, Volume, litres,0.4444,0.4435,0.0006,0.0002,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, CNG, Volume, litres,0.4442,0.4434,0.0006,0.0002,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, CNG, Volume, litres,0.4433,0.4425,0.0006,0.0002,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, CNG, Volume, litres,0.4449,0.4440,0.0006,0.0002,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, CNG, Volume, litres,0.4807,0.4798,0.0006,0.0003,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LNG, Energy - Gross CV, kWh (Gross CV),0.1840,0.1836,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LNG, Energy - Gross CV, kWh (Gross CV),0.1844,0.1840,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LNG, Energy - Gross CV, kWh (Gross CV),0.1846,0.1842,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LNG, Energy - Gross CV, kWh (Gross CV),0.1844,0.1841,0.0002,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LNG, Energy - Gross CV, kWh (Gross CV),0.1840,0.1836,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LNG, Energy - Net CV, kWh (Net CV),0.2039,0.2035,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LNG, Energy - Net CV, kWh (Net CV),0.2043,0.2039,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LNG, Energy - Net CV, kWh (Net CV),0.2045,0.2041,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LNG, Energy - Net CV, kWh (Net CV),0.2049,0.2046,0.0003,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LNG, Energy - Net CV, kWh (Net CV),0.2044,0.2040,0.0003,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LNG, Tonnes, t,2559.1700,2554.3900,3.4400,1.3400,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LNG, Tonnes, t,2555.2800,2550.4900,3.4400,1.3400,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LNG, Tonnes, t,2542.4100,2537.6800,3.4000,1.3300,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LNG, Tonnes, t,2550.0400,2545.3700,3.3400,1.3400,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LNG, Tonnes, t,2746.6300,2746.6300,3.6300,1.4400,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LNG, Volume, litres,1.1580,1.1558,0.0016,0.0006,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LNG, Volume, litres,1.1562,1.1541,0.0016,0.0006,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LNG, Volume, litres,1.1504,1.1483,0.0015,0.0006,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LNG, Volume, litres,1.1539,1.1518,0.0015,0.0006,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LNG, Volume, litres,1.2428,1.2405,0.0016,0.0007,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LPG, Energy - Gross CV, kWh (Gross CV),0.2145,0.2142,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LPG, Energy - Gross CV, kWh (Gross CV),0.2145,0.2142,0.0002,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LPG, Energy - Gross CV, kWh (Gross CV),0.2145,0.2142,0.0002,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LPG, Energy - Gross CV, kWh (Gross CV),0.2145,0.2142,0.0001,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LPG, Energy - Gross CV, kWh (Gross CV),0.2145,0.2142,0.0001,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LPG, Energy - Net CV, kWh (Net CV),0.2303,0.2300,0.0002,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LPG, Energy - Net CV, kWh (Net CV),0.2303,0.2300,0.0002,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LPG, Energy - Net CV, kWh (Net CV),0.2303,0.2300,0.0002,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LPG, Energy - Net CV, kWh (Net CV),0.2303,0.2300,0.0001,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LPG, Energy - Net CV, kWh (Net CV),0.2303,0.2300,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LPG, Tonnes, t,2939.2900,2935.1800,2.2800,1.8300,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LPG, Tonnes, t,2939.2900,2935.1800,2.2800,1.8300,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LPG, Tonnes, t,2938.8100,2934.8200,2.1400,1.8600,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LPG, Tonnes, t,2936.8600,2933.0100,1.9400,1.9100,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LPG, Tonnes, t,2937.3200,2933.4100,2.0000,1.9100,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, LPG, Volume, litres,1.5571,1.5549,0.0012,0.0010,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, LPG, Volume, litres,1.5571,1.5549,0.0012,0.0010,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, LPG, Volume, litres,1.5554,1.5533,0.0011,0.0010,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, LPG, Volume, litres,1.5226,1.5206,0.0010,0.0010,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, LPG, Volume, litres,1.5191,1.5170,0.0010,0.0010,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas, Volume, cubic metres,2.0157,2.0119,0.0027,0.0011,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas, Energy - Gross CV, kWh (Gross CV),0.1832,0.1828,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas, Energy - Gross CV, kWh (Gross CV),0.1839,0.1835,0.0003,0.0001,,,,,,,
DBEIS, 2019, Fuels, Gaseous fuels, Natural gas, Energy - Gross CV, kWh (Gross CV),0.1839,0.1835,0.0002,0.0001,,,,,,,
DBEIS, 2018, Fuels, Gaseous fuels, Natural gas, Energy - Gross CV, kWh (Gross CV),0.1840,0.1836,0.0002,0.0001,,,,,,,
DBEIS, 2022, Fuels, Gaseous fuels, Natural gas, Energy - Gross CV, kWh (Gross CV),0.1825,0.1822,0.0003,0.0001,,,,,,,
DBEIS, 2021, Fuels, Gaseous fuels, Natural gas, Energy - Net CV, kWh (Net CV),0.2030,0.2026,0.0003,0.0001,,,,,,,
DBEIS, 2020, Fuels, Gaseous fuels, Natural gas, Energy - Net CV, kWh (Net CV),0.2037,0.2034,0.0003,0.0001,,,,,,,
